"source","target"
"PaulReynolds24","marielhemingway"
"laurenathedisc0","jamiesgotagunn"
"kara_woo","operationteapot"
"SantosisFiasco","joestwat"
"SantosisFiasco","joestwat"
"SagalRN","OMGGitsFatimaa"
"EHmee84","VanCanucks"
"SantosisFiasco","joestwat"
"alikhatib2000","AC360"
"mattithyahu","BSEBRELL"
"heartofacloud","hatinglolita"
"hillyer09","AJEnglish"
"Ay_Brown","CBSTopNews"
"ChrstB","msrachelhollis"
"mosyadig","brandondarby"
"KCmasterpice","hardball_chris"
"bandito_v1","TheThoughtmaker"
"DrLaPook","CBSEVENINGNEWS"
"MattMcCann76","OdemwingieP"
"FrannLeach","snp"
"BeyandtyfanC","andersoncooper"
"KKdwarren","kaitie_still"
"DetricGoss","DetricGoss"
"kg37745242","AC360"
"us_reps","apokaloptimist"
"ponchontheradio","wineistheshit"
"kg37745242","AC360"
"kg37745242","AC360"
"iAmKwill20","TuMamiichulaaa"
"FrannLeach","thesnp"
"attnclayton","AC360"
"JoAnn0924","andersoncooper"
"lapitej","cin_le1234567"
"Shinobi_Black","andersoncooper"
"campbell101287","AC360"
"kg37745242","AC360"
"jeffreymcp","andersoncooper"
"Jet_Awesome","DanStapleton"
"KarlWarden","kimmyk227"
"ninobucci","Reid_Sexton"
"jeffreymcp","andersoncooper"
"CJayFla","suzybie"
"GailZahtz","NAMIOC"
"kg37745242","AC360"
"attnclayton","rascouet"
"kg37745242","AC360"
"kenyonguess","AC360"
"Kristen40879416","AC360"
"LadyEden1337","TalkinKnowledge"
"StockdaleWolfe","completelynblue"
"BadNewsRapDudes","ty_boe"
"johnnydunnit","JoeCannon4"
"NoGoodReasons","FeministGriote"
"DiannaMaria","VanJones68"
"NoelleCaprarese","carrieliztheis"
"ISeeYourCat","VinDeagle"
"azzthespazz88","SamanthaJane82"
"EmmieSea","KailLowry"
"sandhillshrink","AC360"
"princessblog","PRosencrants"
"HeatherWhaley","AC360"
"ThatAhmadiKid","rahimchaudhary"
"VictoriaD_35","MARISSA547"
"princessblog","PRosencrants"
"biketree","redsonia"
"milguy23","piersmorgan"
"Luchsucks","Villaa_"
"DrLaPook","CBSEveningNews"
"enchantingechos","CBSEveningNews"
"alisonrose711","jennygadget"
"enchantingechos","CBSEveningNews"
"JamesWorld12","bobbiebarnhill"
"EmanueIl","CynthiiaSays"
"enchantingechos","CBSEveningNews"
"enchantingechos","CBSEveningNews"
"EllaOgden","AC360"
"enchantingechos","CBSEveningNews"
"gmanverk","MaRyLoSt11"
"chl0eblack","Sian_____"
"GreggStuber","TheDailyShow"
"_ShellKR_","ukschizophrenic"
"Hephaestus7","Scribbles123"
