"source","target"
"JHolderBennett","MicheleBachmann"
"sszrom","KatieZimmerman"
"Gottahrdt","Politisite"
"Chad_Micheal","howardfineman"
"JohnQPubliq","gregolsen82"
"jp730","ComfortablySmug"
"meredithfo","TeamBachmann"
"runforfun54","michelebachmann"
"jwein7","BorowitzReport"
"nicholasvollaro","KrystalBall1"
"joep1959","DanGaffney"
"America4ward","CNN"
"mwelsh1984","MittRomney"
"leebeegee3","MicheleBachmann"
"Gabesmom","RickSantorum"
"MOforPerry","GovernorPerry"
"cocoabrownj","MicheleBachmann"
"theshex","lovelyladypa"
"profg","TPPatriots"
"RobinFayMassie","sexythinker"
"MsDiva67","MicheleBachmann"
"4URNV","thereidreport"
"danielarigil","johnbennett12"
"redrum88","RepRonPaul"
"Winonah_Drake","ashong"
"catekustanczy","ninatypewriter"
"mlevenson","thehermancain"
"jeremynef","Lockedonsports"
"shawnpwilliams","thescepter"
"RepublicanRocks","TeamBachmann"
"PirateOnPtree","TheHermanCain"
"ChristianABerle","rachelhoff814"
"seantheanalyst","Heritage"
"MaKAngribe","Nasdaqistan"
"Miz_Eisenhower","understandblue"
"PoliticsIn01245","newtgingrich"
"dankennedy_nu","DevorahLeah"
"Ryan_S_Martin","JonHuntsman"
"truthissoap","THEHermanCain"
"alicetweet","TeamBachmann"
"SamHagedorn","MelissaTweets"
"arizonascge","rolandsmartin"
"RepublicanRocks","JonHuntsman"
"JayLucas00","jimpethokoukis"
"Cardkillah","IMAO_"
"ryan_printy","JonHuntsman"
"suenraleigh","TheHermanCain"
"rootless_e","BlackCanseco"
"coneymedia","RonPaul"
"chpippin","PeteDominick"
"teenagepundit","JonHuntsman"
"fishinsam","cspanwj"
"diggaduh","MicheleBachmann"
"debidevens","Newt2012HQ"
"DStefanski","Newt2012HQ"
"wilmariemontijo","AdyBonilla"
"david_o_connell","TheFix"
"NoahJackson93","DickMorrisTweet"
"ThatChristyChic","THEHermanCain"
"PunchingDonkey","newtgingrich"
"krteasley","ctuckerprof"
"MsDiva67","wolfblitzercnn"
"letHimdrive","newtgingrich"
"Geswho2","CNN"
"iKarith","MelissaTweets"
"SamehBrill","JasminRamsey"
"ZebertLBrown","CNN-Huntsman"
"kurthjl","RonPaul"
"","politisie"
"grglmt1234","pourmecoffee"
"RadioOne91FM","Chairman_Wow_"
"ellocust","DougBenson"
"oxfordgirl","themba"
"donna816","cspanwj"
"","THEHermanCain"
"daakardior","TimAlbrechtIA"
"catekustanczy","CalliopeCo"
"EaglesChick665","DailyBeerReview"
"KevinPrice11","JonHuntsman"
"AlaaMuk","rigo_"
"joepearce","TheHermanCain"
"StephenZieman","newtgingrich"
"AmeenaRasheed","NadiaEncourages"
"Jon_HuntsmanUSA","JonHuntsman's"
"Brett_Kincaid","anamariecox"
"Ptwin","bethanyshondark"
